130,130,130,130,130,130,130,130,130,130,112,161,162,161,161,161,161,162,161,112,130,130,130,130,130,130,130,130,130,130
130,130,130,130,130,130,130,130,130,130,112,161,161,151,183,183,152,161,161,112,130,130,130,130,130,130,130,130,130,130
132,132,132,132,132,132,132,132,132,132,112,113,113,167,22,22,168,113,113,112,132,132,132,132,132,132,132,132,132,132
115,115,115,115,16,16,16,16,16,16,112,37,37,37,37,37,37,37,37,112,16,16,16,16,16,16,115,115,115,115
115,115,115,115,16,16,16,16,16,16,112,37,37,37,37,37,37,37,37,112,16,16,16,16,16,16,115,115,115,115
115,115,115,115,16,16,16,16,16,16,112,37,37,164,37,37,164,37,37,112,16,16,16,16,115,16,115,115,115,115
115,115,115,115,16,115,16,16,16,16,112,112,112,165,35,34,181,112,112,112,16,16,16,16,16,16,115,115,115,115
115,115,115,115,16,16,16,16,16,16,113,113,113,113,37,37,113,113,113,113,16,16,16,16,16,16,115,115,115,115
115,115,115,115,16,36,36,16,16,36,36,36,36,36,36,36,16,36,36,36,36,16,36,36,36,36,115,115,115,115
115,115,115,115,16,36,36,36,16,36,36,115,36,36,36,36,36,36,16,36,36,16,36,36,36,36,115,115,115,115
115,115,115,115,16,16,36,36,115,36,36,36,16,36,36,36,36,16,16,115,36,16,16,36,16,16,115,115,115,115
115,115,115,115,16,16,16,36,16,16,16,16,16,115,37,37,115,16,16,16,16,16,16,36,16,16,115,115,115,115
115,115,115,115,16,16,16,16,16,16,16,16,16,16,37,37,16,16,16,16,16,16,16,16,16,16,115,115,115,115
115,115,115,115,115,115,115,115,115,115,115,115,115,115,37,37,115,115,115,115,115,115,115,115,115,115,115,115,115,115
115,115,115,115,115,115,115,115,115,115,115,115,115,115,37,37,115,115,115,115,115,115,115,115,115,115,115,115,115,115
115,115,115,115,115,115,115,115,115,115,115,115,115,115,37,37,115,115,115,115,115,115,115,115,115,115,115,115,115,115
115,115,115,115,115,115,115,115,115,115,115,115,115,115,37,37,115,115,115,115,115,115,115,115,115,115,115,115,115,115
115,115,115,115,115,115,115,115,115,115,115,115,115,115,37,37,115,115,115,115,115,115,115,115,115,115,115,115,115,115

